Day in November,Height (m)
22.44791667,1.616
22.45833333,1.617
22.46875,1.614
22.47916667,1.613
22.48958333,1.609
22.5,1.611
22.51041667,1.607
22.52083333,1.607
22.53125,1.607
22.54166667,1.605
22.55208333,1.599
22.5625,1.598
22.57291667,1.598
22.58333333,1.596
22.59375,1.591
22.60416667,1.583
22.61458333,1.587
22.625,1.585
22.63541667,1.582
22.64583333,1.584
22.65625,1.582
22.66666667,1.577
22.67708333,1.58
22.6875,1.577
22.69791667,1.583
22.70833333,1.578
22.71875,1.584
22.72916667,1.579
22.73958333,1.584
22.75,1.584
22.76041667,1.58
22.77083333,1.585
22.78125,1.59
22.79166667,1.596
22.80208333,1.598
22.8125,1.606
22.82291667,1.606
22.83333333,1.612
22.84375,1.62
22.85416667,1.624
22.86458333,1.631
22.875,1.632
22.88541667,1.641
22.89583333,1.646
22.90625,1.652
22.91666667,1.659
22.92708333,1.66
22.9375,1.666
22.94791667,1.668
22.95833333,1.676
22.96875,1.676
22.97916667,1.683
22.98958333,1.681
23,1.686
23.01041667,1.693
23.02083333,1.695
23.03125,1.693
23.04166667,1.699
23.05208333,1.699
23.0625,1.704
23.07291667,1.705
23.08333333,1.71
23.09375,1.711
23.10416667,1.707
23.11458333,1.713
23.125,1.712
23.13541667,1.713
23.14583333,1.715
23.15625,1.715
23.16666667,1.717
23.17708333,1.718
23.1875,1.718
23.19791667,1.723
23.20833333,1.721
23.21875,1.723
23.22916667,1.725
23.23958333,1.727
23.25,1.73
23.26041667,1.734
23.27083333,1.732
23.28125,1.737
23.29166667,1.738
23.30208333,1.736
23.3125,1.741
23.32291667,1.744
23.33333333,1.745
23.34375,1.746
23.35416667,1.75
23.36458333,1.752
23.375,1.755
23.38541667,1.756
23.39583333,1.765
23.40625,1.766
23.41666667,1.767
23.42708333,1.766
23.4375,1.775
23.44791667,1.776
23.45833333,1.784
23.46875,1.78
23.47916667,1.785
23.48958333,1.788
23.5,1.788
23.51041667,1.788
23.52083333,1.792
23.53125,1.794
23.54166667,1.799
23.55208333,1.801
23.5625,1.802
23.57291667,1.802
23.58333333,1.804
23.59375,1.806
23.60416667,1.811
23.61458333,1.804
23.625,1.805
23.63541667,1.804
23.64583333,1.806
23.65625,1.803
23.66666667,1.806
23.67708333,1.803
23.6875,1.807
23.69791667,1.804
23.70833333,1.8
23.71875,1.801
23.72916667,1.799
23.73958333,1.795
23.75,1.798
23.76041667,1.794
23.77083333,1.79
23.78125,1.794
23.79166667,1.788
23.80208333,1.782
23.8125,1.78
23.82291667,1.778
23.83333333,1.777
23.84375,1.768
23.85416667,1.766
23.86458333,1.76
23.875,1.758
23.88541667,1.757
23.89583333,1.75
23.90625,1.747
23.91666667,1.744
23.92708333,1.74
23.9375,1.739
23.94791667,1.731
23.95833333,1.726
23.96875,1.727
23.97916667,1.728
23.98958333,1.72
24,1.72
24.01041667,1.71
24.02083333,1.708
24.03125,1.707
24.04166667,1.7
24.05208333,1.698
24.0625,1.699
24.07291667,1.692
24.08333333,1.689
24.09375,1.685
24.10416667,1.683
24.11458333,1.683
24.125,1.68
24.13541667,1.674
24.14583333,1.669
24.15625,1.671
24.16666667,1.672
24.17708333,1.665
24.1875,1.665
24.19791667,1.664
24.20833333,1.659
24.21875,1.66
24.22916667,1.66
24.23958333,1.658
24.25,1.655
24.26041667,1.653
24.27083333,1.65
24.28125,1.651
24.29166667,1.652
24.30208333,1.647
24.3125,1.647
24.32291667,1.646
24.33333333,1.643
24.34375,1.643
24.35416667,1.644
24.36458333,1.639
24.375,1.639
24.38541667,1.639
24.39583333,1.635
24.40625,1.637
24.41666667,1.635
24.42708333,1.636
24.4375,1.632
24.44791667,1.631
24.45833333,1.63
24.46875,1.627
24.47916667,1.626
24.48958333,1.624
24.5,1.624
24.51041667,1.62
24.52083333,1.621
24.53125,1.615
24.54166667,1.615
24.55208333,1.614
24.5625,1.613
24.57291667,1.613
24.58333333,1.609
24.59375,1.609
24.60416667,1.606
24.61458333,1.606
24.625,1.606
24.63541667,1.599
24.64583333,1.598
24.65625,1.598
24.66666667,1.597
24.67708333,1.592
24.6875,1.59
24.69791667,1.588
24.70833333,1.59
24.71875,1.587
24.72916667,1.582
24.73958333,1.58
24.75,1.575
24.76041667,1.573
24.77083333,1.569
24.78125,1.568
24.79166667,1.565
24.80208333,1.562
24.8125,1.563
24.82291667,1.556
24.83333333,1.56
24.84375,1.551
24.85416667,1.547
24.86458333,1.546
24.875,1.543
24.88541667,1.541
24.89583333,1.535
24.90625,1.535
24.91666667,1.538
24.92708333,1.536
24.9375,1.533
24.94791667,1.528
24.95833333,1.525
24.96875,1.523
24.97916667,1.522
24.98958333,1.522
25,1.516
25.01041667,1.515
25.02083333,1.516
25.03125,1.514
25.04166667,1.514
25.05208333,1.515
25.0625,1.516
25.07291667,1.519
25.08333333,1.521
25.09375,1.522
25.10416667,1.522
25.11458333,1.521
25.125,1.516
25.13541667,1.519
25.14583333,1.517
25.15625,1.523
25.16666667,1.524
25.17708333,1.527
25.1875,1.527
25.19791667,1.528
25.20833333,1.53
25.21875,1.53
25.22916667,1.528
25.23958333,1.532
25.25,1.536
25.26041667,1.534
25.27083333,1.538
25.28125,1.541
25.29166667,1.543
25.30208333,1.54
25.3125,1.543
25.32291667,1.547
25.33333333,1.545
25.34375,1.556
25.35416667,1.555
25.36458333,1.558
25.375,1.561
25.38541667,1.573
25.39583333,1.573
25.40625,1.577
25.41666667,1.582
25.42708333,1.589
25.4375,1.6
25.44791667,1.606
25.45833333,1.613
25.46875,1.624
25.47916667,1.63
25.48958333,1.642
25.5,1.65
25.51041667,1.661
25.52083333,1.671
25.53125,1.68
25.54166667,1.688
25.55208333,1.697
25.5625,1.709
25.57291667,1.716
25.58333333,1.722
25.59375,1.733
25.60416667,1.747
25.61458333,1.751
25.625,1.762
25.63541667,1.769
25.64583333,1.773
25.65625,1.787
25.66666667,1.792
25.67708333,1.801
25.6875,1.805
25.69791667,1.813
25.70833333,1.819
25.71875,1.82
25.72916667,1.825
25.73958333,1.825
25.75,1.829
25.76041667,1.834
25.77083333,1.831
25.78125,1.833
25.79166667,1.831
25.80208333,1.833
25.8125,1.832
25.82291667,1.833
25.83333333,1.828
25.84375,1.832
25.85416667,1.823
25.86458333,1.826
25.875,1.822
25.88541667,1.822
25.89583333,1.821
25.90625,1.819
25.91666667,1.817
25.92708333,1.811
25.9375,1.806
25.94791667,1.81
25.95833333,1.805
25.96875,1.8
25.97916667,1.8
25.98958333,1.799
26,1.796
26.01041667,1.794
26.02083333,1.792
26.03125,1.791
26.04166667,1.786
26.05208333,1.784
26.0625,1.782
26.07291667,1.781
26.08333333,1.784
26.09375,1.776
26.10416667,1.777
26.11458333,1.775
26.125,1.772
26.13541667,1.773
26.14583333,1.772
26.15625,1.773
26.16666667,1.777
26.17708333,1.778
26.1875,1.781
26.19791667,1.78
26.20833333,1.787
26.21875,1.79
26.22916667,1.788
26.23958333,1.793
26.25,1.802
26.26041667,1.803
26.27083333,1.811
26.28125,1.81
26.29166667,1.812
26.30208333,1.82
26.3125,1.829
26.32291667,1.834
26.33333333,1.836
26.34375,1.841
26.35416667,1.845
26.36458333,1.848
26.375,1.848
26.38541667,1.855
26.39583333,1.862
26.40625,1.861
26.41666667,1.86
26.42708333,1.872
26.4375,1.871
26.44791667,1.875
26.45833333,1.868
26.46875,1.873
26.47916667,1.88
26.48958333,1.88
26.5,1.882
26.51041667,1.879
26.52083333,1.876
26.53125,1.886
26.54166667,1.884
26.55208333,1.878
26.5625,1.884
26.57291667,1.877
26.58333333,1.882
26.59375,1.883
26.60416667,1.886
26.61458333,1.888
26.625,1.886
26.63541667,1.88
26.64583333,1.889
26.65625,1.886
26.66666667,1.884
26.67708333,1.883
26.6875,1.885
26.69791667,1.888
26.70833333,1.884
26.71875,1.883
26.72916667,1.875
26.73958333,1.877
26.75,1.881
26.76041667,1.876
26.77083333,1.872
26.78125,1.873
26.79166667,1.868
26.80208333,1.868
26.8125,1.866
26.82291667,1.866
26.83333333,1.863
26.84375,1.857
26.85416667,1.858
26.86458333,1.853
26.875,1.855
26.88541667,1.843
26.89583333,1.848
26.90625,1.84
26.91666667,1.838
26.92708333,1.834
26.9375,1.833
26.94791667,1.826
26.95833333,1.824
26.96875,1.819
26.97916667,1.812
26.98958333,1.809
27,1.809
27.01041667,1.803
27.02083333,1.794
27.03125,1.793
27.04166667,1.792
27.05208333,1.786
27.0625,1.781
27.07291667,1.777
27.08333333,1.775
27.09375,1.765
27.10416667,1.761
27.11458333,1.761
27.125,1.754
27.13541667,1.75
27.14583333,1.747
27.15625,1.744
27.16666667,1.739
27.17708333,1.732
27.1875,1.728
27.19791667,1.723
27.20833333,1.725
27.21875,1.72
27.22916667,1.713
27.23958333,1.711
27.25,1.71
27.26041667,1.705
27.27083333,1.701
27.28125,1.697
27.29166667,1.693
27.30208333,1.688
27.3125,1.685
27.32291667,1.682
27.33333333,1.68
27.34375,1.674
27.35416667,1.676
27.36458333,1.669
27.375,1.67
27.38541667,1.665
27.39583333,1.661
27.40625,1.657
27.41666667,1.654
27.42708333,1.652
27.4375,1.65
27.44791667,1.647
27.45833333,1.644
27.46875,1.639
27.47916667,1.638
27.48958333,1.638
27.5,1.634
27.51041667,1.63
27.52083333,1.625
27.53125,1.627
27.54166667,1.618
27.55208333,1.614
27.5625,1.613
27.57291667,1.613
27.58333333,1.607
27.59375,1.607
27.60416667,1.6
27.61458333,1.596
27.625,1.596
27.63541667,1.595
27.64583333,1.592
27.65625,1.585
27.66666667,1.582
27.67708333,1.584
27.6875,1.577
27.69791667,1.573
27.70833333,1.569
27.71875,1.566
27.72916667,1.564
27.73958333,1.561
27.75,1.556
27.76041667,1.551
27.77083333,1.549
27.78125,1.542
27.79166667,1.541
27.80208333,1.537
27.8125,1.532
27.82291667,1.527
27.83333333,1.522
27.84375,1.518
27.85416667,1.511
27.86458333,1.509
27.875,1.503
27.88541667,1.502
27.89583333,1.496
27.90625,1.487
27.91666667,1.483
27.92708333,1.477
27.9375,1.474
27.94791667,1.467
27.95833333,1.462
27.96875,1.454
27.97916667,1.449
27.98958333,1.441
28,1.437
28.01041667,1.426
28.02083333,1.42
28.03125,1.418
28.04166667,1.408
28.05208333,1.402
28.0625,1.391
28.07291667,1.386
28.08333333,1.382
28.09375,1.373
28.10416667,1.365
28.11458333,1.357
28.125,1.349
28.13541667,1.344
28.14583333,1.334
28.15625,1.329
28.16666667,1.319
28.17708333,1.31
28.1875,1.305
28.19791667,1.293
28.20833333,1.287
28.21875,1.277
28.22916667,1.271
28.23958333,1.261
28.25,1.252
28.26041667,1.238
28.27083333,1.232
28.28125,1.226
28.29166667,1.215
28.30208333,1.205
28.3125,1.196
28.32291667,1.188
28.33333333,1.179
28.34375,1.171
28.35416667,1.164
28.36458333,1.158
28.375,1.145
28.38541667,1.138
28.39583333,1.135
28.40625,1.123
28.41666667,1.118
28.42708333,1.115
28.4375,1.122
28.44791667,1.102
28.45833333,1.091
28.46875,1.091
28.47916667,1.083
28.48958333,1.077
28.5,1.076
28.51041667,1.071
28.52083333,1.079
28.53125,1.06
28.54166667,1.055
28.55208333,1.046
28.5625,1.046
28.57291667,1.044
28.58333333,1.06
28.59375,1.044
28.60416667,1.038
28.61458333,1.032
28.625,1.024
28.63541667,1.018
28.64583333,1.029
28.65625,1.012
28.66666667,1.011
28.67708333,1.032
28.6875,1.014
28.69791667,1.008
28.70833333,1.004
28.71875,1.017
28.72916667,0.999
28.73958333,1.006
28.75,0.995
28.76041667,0.997
28.77083333,0.994
28.78125,0.991
28.79166667,0.987
28.80208333,0.984
28.8125,0.996
28.82291667,0.984
28.83333333,0.983
28.84375,0.977
28.85416667,0.974
28.86458333,0.974
28.875,0.97
28.88541667,0.973
28.89583333,0.973
28.90625,0.967
28.91666667,0.962
28.92708333,0.96
28.9375,0.957
28.94791667,0.955
28.95833333,0.952
28.96875,0.948
28.97916667,0.945
28.98958333,0.944
29,0.946
29.01041667,0.941
29.02083333,0.938
29.03125,0.936
29.04166667,0.931
29.05208333,0.936
29.0625,0.933
29.07291667,0.929
29.08333333,0.925
29.09375,0.921
29.10416667,0.919
29.11458333,0.916
29.125,0.914
29.13541667,0.911
29.14583333,0.909
29.15625,0.905
29.16666667,0.903
29.17708333,0.901
29.1875,0.898
29.19791667,0.896
29.20833333,0.893
29.21875,0.916
29.22916667,0.9
29.23958333,0.893
29.25,0.888
29.26041667,0.884
29.27083333,0.902
29.28125,0.909
29.29166667,0.895
29.30208333,0.886
29.3125,0.88
29.32291667,0.873
29.33333333,0.871
29.34375,0.887
29.35416667,0.892
29.36458333,0.892
29.375,0.892
29.38541667,0.891
29.39583333,0.887
29.40625,0.886
29.41666667,0.883
29.42708333,0.879
29.4375,0.875
29.44791667,0.872
29.45833333,0.869
29.46875,0.864
29.47916667,0.861
29.48958333,0.858
29.5,0.853
29.51041667,0.85
29.52083333,0.846
29.53125,0.841
29.54166667,0.839
29.55208333,0.836
29.5625,0.832
29.57291667,0.826
29.58333333,0.823
29.59375,0.818
29.60416667,0.815
29.61458333,0.812
29.625,0.807
29.63541667,0.803
29.64583333,0.8
29.65625,0.796
29.66666667,0.793
29.67708333,0.812
29.6875,0.821
29.69791667,0.824
29.70833333,0.825
29.71875,0.826
29.72916667,0.826
29.73958333,0.825
29.75,0.825
29.76041667,0.824
29.77083333,0.823
29.78125,0.823
29.79166667,0.821
29.80208333,0.819
29.8125,0.818
29.82291667,0.817
29.83333333,0.815
29.84375,0.814
29.85416667,0.811
29.86458333,0.81
29.875,0.809
29.88541667,0.808
29.89583333,0.804
29.90625,0.803
29.91666667,0.801
29.92708333,0.8
29.9375,0.797
29.94791667,0.795
29.95833333,0.792
29.96875,0.791
29.97916667,0.788
29.98958333,0.786
30,0.784
30.01041667,0.782
30.02083333,0.78
30.03125,0.778
30.04166667,0.776
30.05208333,0.775
30.0625,0.772
30.07291667,0.77
30.08333333,0.769
30.09375,0.767
30.10416667,0.765
30.11458333,0.764
30.125,0.763
30.13541667,0.761
30.14583333,0.76
30.15625,0.759
30.16666667,0.757
30.17708333,0.756
30.1875,0.756
30.19791667,0.754
30.20833333,0.753
30.21875,0.753
30.22916667,0.752
30.23958333,0.75
30.25,0.748
30.26041667,0.748
30.27083333,0.747
30.28125,0.746
30.29166667,0.743
30.30208333,0.742
30.3125,0.74
30.32291667,0.738
30.33333333,0.758
30.34375,0.77
30.35416667,0.778
30.36458333,0.781
30.375,0.783
30.38541667,0.783
30.39583333,0.784
30.40625,0.784
30.41666667,0.783
30.42708333,0.781
30.4375,0.781
30.44791667,0.781
30.45833333,0.778
30.46875,0.777
30.47916667,0.775
30.48958333,0.773
30.5,0.773
30.51041667,0.77
30.52083333,0.766
30.53125,0.766
30.54166667,0.764
30.55208333,0.761
30.5625,0.76
30.57291667,0.757
30.58333333,0.756
30.59375,0.754
30.60416667,0.753
30.61458333,0.751
30.625,0.748
30.63541667,0.746
30.64583333,0.745
30.65625,0.744
30.66666667,0.743
30.67708333,0.741
30.6875,0.741
30.69791667,0.739
30.70833333,0.738
30.71875,0.737
30.72916667,0.735
30.73958333,0.734
30.75,0.732
30.76041667,0.731
30.77083333,0.73
30.78125,0.729
30.79166667,0.728
30.80208333,0.727
30.8125,0.726
30.82291667,0.725
30.83333333,0.724
30.84375,0.724
30.85416667,0.723
30.86458333,0.722
30.875,0.722
30.88541667,0.721
30.89583333,0.721
30.90625,0.72
30.91666667,0.72
30.92708333,0.719
30.9375,0.717
30.94791667,0.716
30.95833333,0.716
30.96875,0.715
30.97916667,0.714
30.98958333,0.712
