Day in December,Flow Rate (m^3/s),Height (m)
27.08333333,49.4,2.662
27.09375,48.2,2.628
27.10416667,46.9,2.593
27.11458333,45.8,2.563
27.125,45.9,2.566
27.13541667,43.7,2.504
27.14583333,43.3,2.493
27.15625,42,2.456
27.16666667,42.7,2.475
27.17708333,41.2,2.434
27.1875,40.3,2.408
27.19791667,40.3,2.408
27.20833333,38.7,2.362
27.21875,38.1,2.345
27.22916667,38.3,2.351
27.23958333,37.3,2.322
27.25,37,2.313
27.26041667,36.1,2.287
27.27083333,35.7,2.275
27.28125,35.4,2.264
27.29166667,34.8,2.247
27.30208333,34.8,2.248
27.3125,33.1,2.197
27.32291667,33.5,2.209
27.33333333,33.2,2.2
27.34375,32.8,2.187
27.35416667,32.9,2.189
27.36458333,32.2,2.17
27.375,31.6,2.152
27.38541667,31.3,2.142
27.39583333,30.5,2.116
27.40625,29.6,2.091
27.41666667,30.2,2.107
27.42708333,29.5,2.088
27.4375,29.7,2.093
27.44791667,28.7,2.067
27.45833333,28.6,2.066
27.46875,28,2.05
27.47916667,27.8,2.043
27.48958333,27.4,2.031
27.5,27,2.02
27.51041667,26.1,1.995
27.52083333,26.5,2.007
27.53125,26.5,2.006
27.54166667,26,1.994
27.55208333,26.3,2.003
27.5625,26.1,1.996
27.57291667,25.7,1.985
27.58333333,25.2,1.969
27.59375,24.8,1.958
27.60416667,24.9,1.961
27.61458333,23.8,1.93
27.625,24.1,1.937
27.63541667,23.8,1.93
27.64583333,23.3,1.913
27.65625,23.4,1.917
27.66666667,23,1.905
27.67708333,22.8,1.899
27.6875,22.3,1.884
27.69791667,22.2,1.881
27.70833333,21.7,1.866
27.71875,22,1.873
27.72916667,21.7,1.864
27.73958333,22,1.874
27.75,21.6,1.861
27.76041667,21.3,1.852
27.77083333,21.7,1.865
27.78125,21.4,1.855
27.79166667,21.7,1.865
27.80208333,21.4,1.855
27.8125,21.2,1.85
27.82291667,21.1,1.847
27.83333333,21.3,1.851
27.84375,21,1.844
27.85416667,21,1.844
27.86458333,20.3,1.819
27.875,20.1,1.813
27.88541667,20.1,1.813
27.89583333,20,1.812
27.90625,20,1.812
27.91666667,19.7,1.801
27.92708333,19.7,1.8
27.9375,19.6,1.799
27.94791667,19.3,1.786
27.95833333,19.2,1.784
27.96875,18.9,1.775
27.97916667,19,1.776
27.98958333,18.9,1.773
28,18.8,1.771
28.01041667,18.8,1.769
28.02083333,18.5,1.762
28.03125,18.5,1.761
28.04166667,18.2,1.751
28.05208333,17.9,1.739
28.0625,17.8,1.736
28.07291667,17.7,1.733
28.08333333,17.5,1.726
28.09375,17.5,1.725
28.10416667,17.1,1.71
28.11458333,17.2,1.714
28.125,17.1,1.71
28.13541667,17,1.709
28.14583333,16.9,1.704
28.15625,16.7,1.697
28.16666667,16.7,1.697
28.17708333,16.5,1.69
28.1875,16.4,1.685
28.19791667,16,1.671
28.20833333,16.1,1.674
28.21875,16,1.671
28.22916667,15.8,1.665
28.23958333,15.8,1.665
28.25,15.6,1.657
28.26041667,15.4,1.648
28.27083333,15.5,1.651
28.28125,15.1,1.638
28.29166667,15.2,1.64
28.30208333,15.2,1.643
28.3125,15,1.635
28.32291667,15,1.632
28.33333333,14.9,1.629
28.34375,14.7,1.622
28.35416667,14.8,1.624
28.36458333,14.8,1.625
28.375,14.7,1.62
28.38541667,14.7,1.622
28.39583333,14.5,1.614
28.40625,14.4,1.611
28.41666667,14.4,1.61
28.42708333,14.5,1.613
28.4375,14.2,1.601
28.44791667,14.3,1.607
28.45833333,14.1,1.599
28.46875,14,1.595
28.47916667,14,1.594
28.48958333,13.8,1.588
28.5,13.8,1.588
28.51041667,13.8,1.585
28.52083333,13.6,1.579
28.53125,13.6,1.58
28.54166667,13.6,1.577
28.55208333,13.3,1.568
28.5625,13.4,1.572
28.57291667,13.4,1.569
28.58333333,13.3,1.565
28.59375,13.4,1.57
28.60416667,13.1,1.558
28.61458333,13.1,1.556
28.625,13.2,1.563
28.63541667,13,1.553
28.64583333,12.9,1.55
28.65625,12.9,1.551
28.66666667,12.9,1.548
28.67708333,12.8,1.545
28.6875,12.7,1.54
28.69791667,12.5,1.534
28.70833333,12.6,1.538
28.71875,12.5,1.532
28.72916667,12.6,1.536
28.73958333,12.5,1.534
28.75,12.4,1.53
28.76041667,12.4,1.53
28.77083333,12.4,1.527
28.78125,12.3,1.525
28.79166667,12.3,1.525
28.80208333,12.1,1.517
28.8125,12.2,1.518
28.82291667,12,1.513
28.83333333,12.1,1.516
28.84375,12,1.513
28.85416667,12,1.512
28.86458333,12,1.51
28.875,11.9,1.507
28.88541667,12,1.51
28.89583333,11.8,1.504
28.90625,11.8,1.504
28.91666667,11.8,1.502
28.92708333,11.7,1.498
28.9375,11.7,1.499
28.94791667,11.7,1.5
28.95833333,11.6,1.493
28.96875,11.7,1.497
28.97916667,11.6,1.494
28.98958333,11.6,1.492
29,11.5,1.491
